query,label1,label2,label3,label4,label5
Incident Report_C_1,0,1,1,1,1,
Incident Report_C_2,0,1,1,1,1,
Incident Report_C_3,0,1,1,1,1,
Incident Report_C_4,0,1,1,1,1,
Incident Report_D_0,1,1,1,1,1,
Incident Report_D_1,1,1,1,1,1,
Incident Report_D_2,1,1,1,1,1,
Incident Report_D_3,1,1,1,1,1,
Incident Report_D_4,1,1,1,1,1,
Incident Report_E_0,1,1,1,1,1,
Incident Report_E_1,1,1,1,1,1,
Incident Report_E_2,1,1,1,1,1,
Incident Report_E_3,1,1,1,1,1,
Incident Report_E_4,1,1,1,1,1,
Local Arts and Culture_A_0,0,0,0,0,1,
Local Arts and Culture_A_1,0,0,0,0,1,
Local Arts and Culture_A_2,0,0,0,0,1,
Local Arts and Culture_A_3,0,0,0,0,1,
Local Arts and Culture_A_4,0,0,0,0,1,
Local Arts and Culture_B_0,0,0,0,0,0,
Local Arts and Culture_B_1,0,0,0,0,0,
Local Arts and Culture_B_2,0,0,0,0,0,
Local Arts and Culture_B_3,0,0,0,0,0,
Local Arts and Culture_B_4,0,0,0,0,0,
Local Arts and Culture_C_0,1,0,0,0,0,
Local Arts and Culture_C_1,1,0,0,0,0,
Local Arts and Culture_C_2,1,0,0,0,0,
Local Arts and Culture_C_3,1,0,0,0,0,
Local Arts and Culture_C_4,1,0,0,0,0,
Local Arts and Culture_D_0,0,0,0,0,0,
Local Arts and Culture_D_1,0,0,0,0,0,
Local Arts and Culture_D_2,0,0,0,0,0,
Local Arts and Culture_D_3,0,0,0,0,0,
Local Arts and Culture_D_4,0,0,0,0,0,
Local Arts and Culture_E_0,0,0,0,0,0,
Local Arts and Culture_E_1,0,0,0,0,0,
Local Arts and Culture_E_2,0,0,0,0,0,
Local Arts and Culture_E_3,0,0,0,0,0,
Local Arts and Culture_E_4,0,0,0,0,0,
Local Economy and Market_A_0,0,0,0,1,1,
Local Economy and Market_A_1,0,0,0,1,1,
Local Economy and Market_A_2,0,0,0,1,1,
Local Economy and Market_A_3,0,0,0,1,1,
Local Economy and Market_A_4,0,0,0,1,1,
Local Economy and Market_B_0,0,0,0,0,0,
Local Economy and Market_B_1,0,0,0,0,0,
Local Economy and Market_B_2,0,0,0,0,0,
Local Economy and Market_B_3,0,0,0,0,0,
Local Economy and Market_B_4,0,0,0,0,0,
Local Economy and Market_C_0,0,0,1,0,0,
Local Economy and Market_C_1,0,0,1,0,0,
Local Economy and Market_C_2,0,0,1,0,0,
Local Economy and Market_C_3,0,0,1,0,0,
Local Economy and Market_C_4,0,0,1,0,0,
Local Economy and Market_D_0,0,1,1,0,1,
Local Economy and Market_D_1,0,1,1,0,1,
Local Economy and Market_D_2,0,1,1,0,1,
Local Economy and Market_D_3,0,1,1,0,1,
Local Economy and Market_D_4,0,1,1,0,1,
Local Economy and Market_E_0,0,0,0,0,0,
Local Economy and Market_E_1,0,0,0,0,0,
Local Economy and Market_E_2,0,0,0,0,0,
Local Economy and Market_E_3,0,0,0,0,0,
Local Economy and Market_E_4,0,0,0,0,0,
Local Education Systems_A_0,0,0,0,1,0,
Local Education Systems_A_1,0,0,0,1,0,
Local Education Systems_A_2,0,0,0,1,0,
Local Education Systems_A_3,0,0,0,1,0,
Local Education Systems_A_4,0,0,0,1,0,
Local Education Systems_B_0,1,0,0,0,1,
Local Education Systems_B_1,1,0,0,0,1,
Local Education Systems_B_2,1,0,0,0,1,
Local Education Systems_B_3,1,0,0,0,1,
Local Education Systems_B_4,1,0,0,0,1,
Local Education Systems_C_0,1,1,1,1,0,
Local Education Systems_C_1,1,1,1,1,0,
Local Education Systems_C_2,1,1,1,1,0,
Local Education Systems_C_3,1,1,1,1,0,
Local Education Systems_C_4,1,1,1,1,0,
Local Education Systems_D_0,0,0,0,1,0,
Local Education Systems_D_1,0,0,0,1,0,
Local Education Systems_D_2,0,0,0,1,0,
Local Education Systems_D_3,0,0,0,1,0,
Local Education Systems_D_4,0,0,0,1,0,
Local Education Systems_E_0,1,1,1,0,1,
Local Education Systems_E_1,1,1,1,0,1,
Local Education Systems_E_2,1,1,1,0,1,
Local Education Systems_E_3,1,1,1,0,1,
Local Education Systems_E_4,1,1,1,0,1,
Local Environmental Issues_A_0,0,0,0,0,0,
Local Environmental Issues_A_1,0,0,0,0,0,
Local Environmental Issues_A_2,0,0,0,0,0,
Local Environmental Issues_A_3,0,0,0,0,0,
Local Environmental Issues_A_4,0,0,0,0,0,
Local Environmental Issues_B_0,0,0,0,0,0,
Local Environmental Issues_B_1,0,0,0,0,0,
Local Environmental Issues_B_2,0,0,0,0,0,
Local Environmental Issues_B_3,0,0,0,0,0,
Local Environmental Issues_B_4,0,0,0,0,0,
Local Environmental Issues_C_0,0,0,1,0,0,
Local Environmental Issues_C_1,0,0,1,0,0,
Local Environmental Issues_C_2,0,0,1,0,0,
Local Environmental Issues_C_3,0,0,1,0,0,
Local Environmental Issues_C_4,0,0,1,0,0,
Local Environmental Issues_D_0,0,0,0,0,0,
Local Environmental Issues_D_1,0,0,0,0,0,
Local Environmental Issues_D_2,0,0,0,0,0,
Local Environmental Issues_D_3,0,0,0,0,0,
Local Environmental Issues_D_4,0,0,0,0,0,
Local Environmental Issues_E_0,0,0,0,0,0,
Local Environmental Issues_E_1,0,0,0,0,0,
Local Environmental Issues_E_2,0,0,0,0,0,
Local Environmental Issues_E_3,0,0,0,0,0,
Local Environmental Issues_E_4,0,0,0,0,0,
Local Health and Wellness_A_0,0,0,0,0,1,
Local Health and Wellness_A_1,0,0,0,0,1,
Local Health and Wellness_A_2,0,0,0,0,1,
Local Health and Wellness_A_3,0,0,0,0,1,
Local Health and Wellness_A_4,0,0,0,0,1,
Local Health and Wellness_B_0,0,0,0,0,0,
Local Health and Wellness_B_1,0,0,0,0,0,
Local Health and Wellness_B_2,0,0,0,0,0,
Local Health and Wellness_B_3,0,0,0,0,0,
Local Health and Wellness_B_4,0,0,0,0,0,
Local Health and Wellness_C_0,0,0,0,0,1,
Local Health and Wellness_C_1,0,0,0,0,1,
Local Health and Wellness_C_2,0,0,0,0,1,
Local Health and Wellness_C_3,0,0,0,0,1,
Local Health and Wellness_C_4,0,0,0,0,1,
Local Health and Wellness_D_0,0,1,1,0,0,
Local Health and Wellness_D_1,0,1,1,0,0,
Local Health and Wellness_D_2,0,1,1,0,0,
Local Health and Wellness_D_3,0,1,1,0,0,
Local Health and Wellness_D_4,0,1,1,0,0,
Local Health and Wellness_E_0,0,0,0,0,0,
Local Health and Wellness_E_1,0,0,0,0,0,
Local Health and Wellness_E_2,0,0,0,0,0,
Local Health and Wellness_E_3,0,0,0,0,0,
Local Health and Wellness_E_4,0,0,0,0,0,
Local News_A_0,0,1,1,0,1,
Local News_A_1,0,1,1,0,1,
Local News_A_2,0,1,1,0,1,
Local News_A_3,0,1,1,0,1,
Local News_A_4,0,1,1,0,1,
Local News_B_0,0,0,0,0,0,
Local News_B_1,0,0,0,0,0,
Local News_B_2,0,0,0,0,0,
Local News_B_3,0,0,0,0,0,
Local News_B_4,0,0,0,0,0,
Local News_C_0,1,1,0,0,0,
Local News_C_1,1,1,0,0,0,
Local News_C_2,1,1,0,0,0,
Local News_C_3,1,1,0,0,0,
Local News_C_4,1,1,0,0,0,
Local News_D_0,0,0,0,0,0,
Local News_D_1,0,0,0,0,0,
Local News_D_2,0,0,0,0,0,
Local News_D_3,0,0,0,0,0,
Local News_D_4,0,0,0,0,0,
Local News_E_0,0,0,1,1,1,
Local News_E_1,0,0,1,1,1,
Local News_E_2,0,0,1,1,1,
Local News_E_3,0,0,1,1,1,
Local News_E_4,0,0,1,1,1,
Local Politics and Governance_A_0,1,1,1,0,1,
Local Politics and Governance_A_1,1,1,1,0,1,
Local Politics and Governance_A_2,1,1,1,0,1,
Local Politics and Governance_A_3,1,1,1,0,1,
Local Politics and Governance_A_4,1,1,1,0,1,
Local Politics and Governance_B_0,0,0,0,0,0,
Local Politics and Governance_B_1,0,0,0,0,0,
Local Politics and Governance_B_2,0,0,0,0,0,
Local Politics and Governance_B_3,0,0,0,0,0,
Local Politics and Governance_B_4,0,0,0,0,0,
Local Politics and Governance_C_0,0,0,0,0,0,
Local Politics and Governance_C_1,0,0,0,0,0,
Local Politics and Governance_C_2,0,0,0,0,0,
Local Politics and Governance_C_3,0,0,0,0,0,
Local Politics and Governance_C_4,0,0,0,0,0,
Local Politics and Governance_D_0,0,0,1,1,0,
Local Politics and Governance_D_1,0,0,1,1,0,
Local Politics and Governance_D_2,0,0,1,1,0,
Local Politics and Governance_D_3,0,0,1,1,0,
Local Politics and Governance_D_4,0,0,1,1,0,
Local Politics and Governance_E_0,0,0,0,1,0,
Local Politics and Governance_E_1,0,0,0,1,0,
Local Politics and Governance_E_2,0,0,0,1,0,
Local Politics and Governance_E_3,0,0,0,1,0,
Local Politics and Governance_E_4,0,0,0,1,0,
Local Sports and Activities_A_0,0,1,0,1,0,
Local Sports and Activities_A_1,0,1,0,1,0,
Local Sports and Activities_A_2,0,1,0,1,0,
Local Sports and Activities_A_3,0,1,0,1,0,
Local Sports and Activities_A_4,0,1,0,1,0,
Local Sports and Activities_B_0,0,0,0,1,0,
Local Sports and Activities_B_1,0,0,0,1,0,
Local Sports and Activities_B_2,0,0,0,1,0,
Local Sports and Activities_B_3,0,0,0,1,0,
Local Sports and Activities_B_4,0,0,0,1,0,
Local Sports and Activities_C_0,1,0,1,1,0,
Local Sports and Activities_C_1,1,0,1,1,0,
Local Sports and Activities_C_2,1,0,1,1,0,
Local Sports and Activities_C_3,1,0,1,1,0,
Local Sports and Activities_C_4,1,0,1,1,0,
Local Sports and Activities_D_0,1,0,0,0,0,
Local Sports and Activities_D_1,1,0,0,0,0,
Local Sports and Activities_D_2,1,0,0,0,0,
Local Sports and Activities_D_3,1,0,0,0,0,
Local Sports and Activities_D_4,1,0,0,0,0,
Local Sports and Activities_E_0,0,0,0,0,0,
Local Sports and Activities_E_1,0,0,0,0,0,
Local Sports and Activities_E_2,0,0,0,0,0,
Local Sports and Activities_E_3,0,0,0,0,0,
Local Sports and Activities_E_4,0,0,0,0,0,
Local Technology and Innovation_A_0,0,0,0,0,0,
Local Technology and Innovation_A_1,0,0,0,0,0,
Local Technology and Innovation_A_2,0,0,0,0,0,
Local Technology and Innovation_A_3,0,0,0,0,0,
Local Technology and Innovation_A_4,0,0,0,0,0,
Local Technology and Innovation_B_0,0,0,0,0,0,
Local Technology and Innovation_B_1,0,0,0,0,0,
Local Technology and Innovation_B_2,0,0,0,0,0,
Local Technology and Innovation_B_3,0,0,0,0,0,
Local Technology and Innovation_B_4,0,0,0,0,0,
Local Technology and Innovation_C_0,0,0,0,0,0,
Local Technology and Innovation_C_1,0,0,0,0,0,
Local Technology and Innovation_C_2,0,0,0,0,0,
Local Technology and Innovation_C_3,0,0,0,0,0,
Local Technology and Innovation_C_4,0,0,0,0,0,
Local Technology and Innovation_D_0,0,0,0,0,0,
Local Technology and Innovation_D_1,0,0,0,0,0,
Local Technology and Innovation_D_2,0,0,0,0,0,
Local Technology and Innovation_D_3,0,0,0,0,0,
Local Technology and Innovation_D_4,0,0,0,0,0,
Local Technology and Innovation_E_0,0,0,0,0,0,
Local Technology and Innovation_E_1,0,0,0,0,0,
Local Technology and Innovation_E_2,0,0,0,0,0,
Local Technology and Innovation_E_3,0,0,0,0,0,
Local Technology and Innovation_E_4,0,0,0,0,0,
Neighborhood Stories_A_0,1,1,1,1,0,
Neighborhood Stories_A_1,1,1,1,1,0,
Neighborhood Stories_A_2,1,1,1,1,0,
Neighborhood Stories_A_3,1,1,1,1,0,
Neighborhood Stories_A_4,1,1,1,1,0,
Neighborhood Stories_B_0,0,1,1,0,0,
Neighborhood Stories_B_1,0,1,1,0,0,
Neighborhood Stories_B_2,0,1,1,0,0,
Neighborhood Stories_B_3,0,1,1,0,0,
Neighborhood Stories_B_4,0,1,1,0,0,
Neighborhood Stories_C_0,0,0,0,0,0,
Neighborhood Stories_C_1,0,0,0,0,0,
Neighborhood Stories_C_2,0,0,0,0,0,
Neighborhood Stories_C_3,0,0,0,0,0,
Neighborhood Stories_C_4,0,0,0,0,0,
Neighborhood Stories_D_0,0,0,0,0,0,
Neighborhood Stories_D_1,0,0,0,0,0,
Neighborhood Stories_D_2,0,0,0,0,0,
Neighborhood Stories_D_3,0,0,0,0,0,
Neighborhood Stories_D_4,0,0,0,0,0,
Neighborhood Stories_E_0,1,1,0,0,1,
Neighborhood Stories_E_1,1,1,0,0,1,
Neighborhood Stories_E_2,1,1,0,0,1,
Neighborhood Stories_E_3,1,1,0,0,1,
Neighborhood Stories_E_4,1,1,0,0,1,
News Stories_A_0,1,0,0,0,0,
News Stories_A_1,1,0,0,0,0,
News Stories_A_2,1,0,0,0,0,
News Stories_A_3,1,0,0,0,0,
News Stories_A_4,1,0,0,0,0,
News Stories_B_0,1,1,1,1,1,
News Stories_B_1,1,1,1,1,1,
News Stories_B_2,1,1,1,1,1,
News Stories_B_3,1,1,1,1,1,
News Stories_B_4,1,1,1,1,1,
News Stories_C_0,1,0,0,0,1,
News Stories_C_1,1,0,0,0,1,
News Stories_C_2,1,0,0,0,1,
News Stories_C_3,1,0,0,0,1,
News Stories_C_4,1,0,0,0,1,
News Stories_D_0,1,0,0,0,0,
News Stories_D_1,1,0,0,0,0,
News Stories_D_2,1,0,0,0,0,
News Stories_D_3,1,0,0,0,0,
News Stories_D_4,1,0,0,0,0,
News Stories_E_0,1,0,0,0,0,
News Stories_E_1,1,0,0,0,0,
News Stories_E_2,1,0,0,0,0,
News Stories_E_3,1,0,0,0,0,
News Stories_E_4,1,0,0,0,0,
Regional Cuisine and Recipes_A_0,0,0,0,0,0,
Regional Cuisine and Recipes_A_1,0,0,0,0,0,
Regional Cuisine and Recipes_A_2,0,0,0,0,0,
Regional Cuisine and Recipes_A_3,0,0,0,0,0,
Regional Cuisine and Recipes_A_4,0,0,0,0,0,
Regional Cuisine and Recipes_B_0,0,0,0,0,0,
Regional Cuisine and Recipes_B_1,0,0,0,0,0,
Regional Cuisine and Recipes_B_2,0,0,0,0,0,
Regional Cuisine and Recipes_B_3,0,0,0,0,0,
Regional Cuisine and Recipes_B_4,0,0,0,0,0,
Regional Cuisine and Recipes_C_0,0,0,0,1,0,
Regional Cuisine and Recipes_C_1,0,0,0,1,0,
Regional Cuisine and Recipes_C_2,0,0,0,1,0,
Regional Cuisine and Recipes_C_3,0,0,0,1,0,
Regional Cuisine and Recipes_C_4,0,0,0,1,0,
Regional Cuisine and Recipes_D_0,0,0,0,0,0,
Regional Cuisine and Recipes_D_1,0,0,0,0,0,
Regional Cuisine and Recipes_D_2,0,0,0,0,0,
Regional Cuisine and Recipes_D_3,0,0,0,0,0,
Regional Cuisine and Recipes_D_4,0,0,0,0,0,
Regional Cuisine and Recipes_E_0,0,0,0,0,0,
Regional Cuisine and Recipes_E_1,0,0,0,0,0,
Regional Cuisine and Recipes_E_2,0,0,0,0,0,
Regional Cuisine and Recipes_E_3,0,0,0,0,0,
Regional Cuisine and Recipes_E_4,0,0,0,0,0,
Regional Folklore and Myths_A_0,0,1,0,1,1,
Regional Folklore and Myths_A_1,0,1,0,1,1,
Regional Folklore and Myths_A_2,0,1,0,1,1,
Regional Folklore and Myths_A_3,0,1,0,1,1,
Regional Folklore and Myths_A_4,0,1,0,1,1,
Regional Folklore and Myths_B_0,1,1,1,1,1,
Regional Folklore and Myths_B_1,1,1,1,1,1,
Regional Folklore and Myths_B_2,1,1,1,1,1,
Regional Folklore and Myths_B_3,1,1,1,1,1,
Regional Folklore and Myths_B_4,1,1,1,1,1,
Regional Folklore and Myths_C_0,1,1,1,1,0,
Regional Folklore and Myths_C_1,1,1,1,1,0,
Regional Folklore and Myths_C_2,1,1,1,1,0,
Regional Folklore and Myths_C_3,1,1,1,1,0,
Regional Folklore and Myths_C_4,1,1,1,1,0,
Regional Folklore and Myths_D_0,1,0,1,0,0,
Regional Folklore and Myths_D_1,1,0,1,0,0,
Regional Folklore and Myths_D_2,1,0,1,0,0,
Regional Folklore and Myths_D_3,1,0,1,0,0,
Regional Folklore and Myths_D_4,1,0,1,0,0,
Regional Folklore and Myths_E_0,1,1,1,0,1,
Regional Folklore and Myths_E_1,1,1,1,0,1,
Regional Folklore and Myths_E_2,1,1,1,0,1,
Regional Folklore and Myths_E_3,1,1,1,0,1,
Regional Folklore and Myths_E_4,1,1,1,0,1,
Small and Medium Enterprises_A_0,0,1,1,0,1,
Small and Medium Enterprises_A_1,0,1,1,0,1,
Small and Medium Enterprises_A_2,0,1,1,0,1,
Small and Medium Enterprises_A_3,0,1,1,0,1,
Small and Medium Enterprises_A_4,0,1,1,0,1,
Small and Medium Enterprises_B_0,0,1,1,1,1,
Small and Medium Enterprises_B_1,0,1,1,1,1,
Small and Medium Enterprises_B_2,0,1,1,1,1,
Small and Medium Enterprises_B_3,0,1,1,1,1,
Small and Medium Enterprises_B_4,0,1,1,1,1,
Small and Medium Enterprises_C_0,0,0,0,0,0,
Small and Medium Enterprises_C_1,0,0,0,0,0,
Small and Medium Enterprises_C_2,0,0,0,0,0,
Small and Medium Enterprises_C_3,0,0,0,0,0,
Small and Medium Enterprises_C_4,0,0,0,0,0,
Small and Medium Enterprises_D_0,0,0,0,0,0,
Small and Medium Enterprises_D_1,0,0,0,0,0,
Small and Medium Enterprises_D_2,0,0,0,0,0,
Small and Medium Enterprises_D_3,0,0,0,0,0,
Small and Medium Enterprises_D_4,0,0,0,0,0,
Small and Medium Enterprises_E_0,0,1,1,1,0,
Small and Medium Enterprises_E_1,0,1,1,1,0,
Small and Medium Enterprises_E_2,0,1,1,1,0,
Small and Medium Enterprises_E_3,0,1,1,1,0,
Small and Medium Enterprises_E_4,0,1,1,1,0,
